,ticker,activity_domain,market_cap,net_revenue,net_income,earnings_per_share,forward_earnings_per_share,price_earnings_ratio,forward_price_earnings_ratio,projected_earnings_growth,free_cash_flow,return_on_equity,dividend_payout_ratio,year_over_year_revenue_growth,price_to_free_cash_flow,stock_price,debt_to_equity_ratio,return_on_assets,return_on_investments,revenue_per_employee,price_to_earnings_growth,price_to_book_ratio
10,AES,Utilities,13145758720,"[12617000000.0, 11141000000.0, 9660000000.0, 10189000000.0]","[-546000000.0, -409000000.0, 46000000.0, 303000000.0]","[-0.77, -0.82, -0.61, 0.07, 0.46]",1.92,-1.0,10.229167,-2.4935064935064934,-3516000000,[-1],-1.0,"[-11.698502021082666, -13.293241181222513, 5.476190476190476, 27.12729351261164]",-3.931111604095563,20.65,"[9.642183011899878, 6.682987848463188, 7.547835990888383, 6.733311081441922]","[-0.01423246357167062, -0.012407851227133452, 0.0013293645059676907, 0.009004992867332383]","[-0.5735294117647058, -0.3787037037037037, 0.055089820359281436, 0.3136645962732919]","[1386483.5164835164, 1224285.7142857143, 1061538.4615384615, 1119670.3296703296]",1.7,7.948199
11,AFL,Financial Services,46434844672,"[19140000000.0, 22106000000.0, 22147000000.0, 22307000000.0]","[4418000000.0, 4325000000.0, 4778000000.0, 3304000000.0]","[6.93, 6.62, 6.42, 6.69, 4.45]",6.05,11.089466,12.702478,0.873015873015873,-3617374976,[-1],0.2338,"[15.496342737722049, 0.18547000814258574, 0.7224454779428364, -14.887701690052449]",-12.870020740255157,77.05,"[0.3695134061569017, 0.2392566084263074, 0.2353765010876367, 0.22683794329914708]","[0.033536261367259255, 0.027452996661207804, 0.028942490580667047, 0.021627565982404694]","[0.04607458701818789, 0.035364148521247106, 0.036298991863495125, 0.02704893204201426]","[1485794.1313460644, 1716037.8823164105, 1719220.6179164725, 1731641.049526471]",2.2,2.2408514
12,A,Healthcare,37305991168,"[6848000000.0, 6319000000.0, 5339000000.0, 5163000000.0]","[1254000000.0, 1210000000.0, 719000000.0, 1071000000.0]","[4.53, 4.19, 3.98, 2.33, 3.41]",5.98,27.880795,21.120401,1.3200883002207506,867124992,[-1],0.1916,"[-7.724883177570094, -15.508783035290394, -3.296497471436598, 36.354832461747044]",42.59682184318821,125.05,"[0.5235394214407261, 0.5064019298571163, 0.48409603940077983, 0.5069502948609941]","[0.1192468619246862, 0.11303129378794956, 0.07468577957826945, 0.11330935251798561]","[6.430769230769231, 6.54054054054054, 4.550632911392405, 10.5]","[372173.9130434783, 343423.9130434783, 290163.04347826086, 280597.82608695654]",2.08,6.450789
13,APD,Basic Materials,63178444800,"[12698600000.0, 10323000000.0, 8856300000.0, 8918900000.0]","[2256100000.0, 2099100000.0, 1886700000.0, 1760000000.0]","[9.73, 10.16, 9.47, 8.53, 7.99]",12.63,29.232271,22.52019,1.2980472764645428,-833062528,[-1],0.68,"[-18.707574063282568, -14.208079046788724, 0.7068414574935357, 45.51906948166254]",-75.14286624420106,281.82,"[0.5816189896530737, 0.5640597649874074, 0.6546300435437673, 0.3008974451762322]","[0.08296742496120268, 0.07815199261333175, 0.07496275105786995, 0.0929112908334565]","[0.6726996243067566, 1.2727217607469836, 1.3173439463762044, 1.3790941858642847]","[644271.9431760528, 523744.2922374429, 449330.2891933029, 452506.3419583968]",2.6,4.4742804
14,AKAM,Technology,14098470912,"[3616654000.0, 3461223000.0, 3198149000.0, 2893617000.0]","[523672000.0, 651642000.0, 557054000.0, 478035000.0]","[3.09, 3.29, 4.01, 3.43, 2.94]",6.31,29.977346,14.6798725,2.042071197411003,760868352,[-1],0.0,"[-4.297646388070299, -7.600608224318399, -9.522132958783345, 25.403777486792485]",18.55145301141399,92.74,"[0.7280919373412196, 0.6311099700795627, 0.6531918737250947, 0.7303077290663261]","[0.06306717730086471, 0.08006735250328893, 0.07174712427535346, 0.06822360175404595]","[1.6337639729074567, 0.5989092392982662, 0.39823649094010444, 0.5722338469494268]","[363117.8714859438, 347512.3493975904, 321099.297188755, 290523.7951807229]",2.02,3.391922
15,ALK,Industrials,5978560512,"[9646000000.0, 6176000000.0, 3566000000.0, 8781000000.0]","[58000000.0, 478000000.0, -1307000000.0, 769000000.0]","[0.43, 0.46, 3.82, -10.72, 6.24]",7.27,108.69768,6.429161,16.906976744186046,-954750016,[-1],0.0,"[-35.97346050176239, -42.26036269430052, 146.24228827818285, 17.76563252476939]",-6.271289667095434,46.81,"[1.015461215932914, 1.0749802683504341, 1.68153078202995, 0.7404756407296237]","[0.004061340242279952, 0.0342627768618737, -0.0930514025345294, 0.05918571538520742]",[-1],"[416853.93258426967, 266897.1477960242, 154105.44511668108, 379472.77441659465]",0.32,1.5065271
16,ALB,Basic Materials,23477760000,"[7320104000.0, 3327957000.0, 3128909000.0, 3589427000.0]","[2689816000.0, 123672000.0, 375764000.0, 533228000.0]","[31.2, 22.97, 1.07, 3.53, 5.03]",22.29,6.413141,8.97667,0.7144230769230769,21526376,[-1],0.0508,"[-54.53675248329806, -5.981086895053031, 14.718165341337826, 169.21357732027982]",1086.617255036333,199.35,"[0.40301269243821614, 0.42562236168031875, 0.83689503861908, 0.7815866234344205]","[0.17402466091660207, 0.011269425023496194, 0.03595502263622834, 0.05407518591425517]","[2.337846235679712, 0.13776417275996203, 0.5725979970864495, 0.9196551301885263]","[989203.2432432432, 449723.91891891893, 422825.54054054053, 485057.7027027027]",5.73,2.392019
17,ARE,Real Estate,20893130752,"[2588962000.0, 2114150000.0, 1885637000.0, 1531296000.0]","[521660000.0, 571247000.0, 770959000.0, 363165000.0]","[3.39, 3.18, 3.83, 6.03, 3.13]",3.96,35.61947,30.492424,1.168141592920354,1393817600,[-1],1.4277,"[-18.339859758466908, -10.808741101624767, -18.791580776151505, 79.28701648799449]",15.19220781829703,122.38,"[0.5355025701299473, 0.5430583521139758, 0.6450172066310345, 0.7644498098654317]","[0.014684968631520875, 0.018903337273079756, 0.033772696700061215, 0.019747420720357674]","[0.3154866408347339, 0.29829398442962496, 0.3966934281743465, 0.24414716393588098]","[4365871.838111298, 3565177.065767285, 3179826.3069139966, 2582286.6779089374]",-4.12,1.1114895
18,ALGN,Healthcare,27656304640,"[3734635000.0, 3952584000.0, 2471941000.0, 2406796000.0]","[361573000.0, 772020000.0, 1775888000.0, 442776000.0]","[3.99, 4.62, 9.78, 22.55, 5.57]",10.38,90.586464,34.82081,2.601503759398496,683862976,[-1],0.0,"[5.835884899059748, -37.46012734960218, -2.6353784333849393, 55.276266704780966]",40.97836418037054,366.24,"[0.027860046127044298, 0.028336766302832626, 0.019928166450980483, 0.03228643654697144]","[0.060789546376253854, 0.12992354567653577, 0.3677028078240332, 0.17706068136067393]",[-1],"[161218.86466652277, 170627.41204403195, 106710.16619900713, 103897.94949276926]",0.97,7.6020617
19,ALLE,Industrials,9842115584,"[3271900000.0, 2867400000.0, 2719900000.0, 2854000000.0]","[458000000.0, 483000000.0, 314300000.0, 401800000.0]","[5.54, 5.2, 5.37, 3.41, 4.29]",7.19,20.200361,15.564673,1.2978339350180506,366337504,[-1],0.294,"[-12.362847275283475, -5.1440329218107, 4.930328320894151, 26.513666152768046]",26.78942939830698,111.59,"[2.2175754367390152, 1.8915267576075552, 1.7236556546901374, 1.877564439768543]","[0.11475245540188414, 0.1583087512291052, 0.10239786277448361, 0.1354138581827986]",[-1],"[266008.1300813008, 233121.9512195122, 221130.081300813, 232032.52032520325]",1.56,8.627043
20,LNT,Utilities,12896203776,"[4205000000.0, 3669000000.0, 3416000000.0, 3647700000.0]","[686000000.0, 674000000.0, 624000000.0, 567400000.0]","[2.61, 2.73, 2.63, 2.47, 2.34]",3.09,19.655172,16.601942,1.1839080459770115,-1,[-1],0.66480005,[-1],-1.0,51.76,"[1.3891013384321225, 1.3160267111853088, 1.259845288326301, 1.2540777314556877]","[0.034022714873778705, 0.03632835660001078, 0.0352343308865048, 0.03397462381816331]","[1.227191413237925, 1.3036750483558994, 1.28659793814433, 1.2129115006412996]","[1343879.8338127197, 1172579.0987535955, 1091722.5950782998, 1165771.812080537]",2.56,2.052739
21,ALL,Financial Services,28879550464,"[51412000000.0, 50588000000.0, 44791000000.0, 44675000000.0]","[-1311000000.0, 1599000000.0, 5576000000.0, 4847000000.0]","[-8.68, -5.22, 5.04, 17.53, 14.25]",12.27,-1.0,8.95436,-1.413594470046083,5679750144,[-1],-1.0,"[-1.6027386602349647, -11.459239345299281, -0.2589805987810051, 22.26524701510912]",5.153606756966526,111.36,"[0.4557367668097282, 0.31677191310218833, 0.2589601879736572, 0.2550580813908762]","[-0.013383423338811928, 0.016080048270313757, 0.0442585346107138, 0.04040850354314297]","[-0.022093395574579955, 0.026117208937671502, 0.06448255524845906, 0.06093789288408348]","[952074.074074074, 936814.8148148148, 829462.9629629629, 827314.8148148148]",-0.72,2.1297588
22,GOOGL,Communication Services,1628700803072,"[282836000000.0, 257637000000.0, 182527000000.0, 161857000000.0]","[59972000000.0, 76033000000.0, 40269000000.0, 34343000000.0]","[4.4, 4.59, 5.694003, 2.957501, 2.479501]",6.66,29.115908,19.235737,1.5136363636363634,68255125504,[-1],0.0,"[-8.909403329137735, -29.153421286538812, -11.32435201367469, 78.88074218600369]",11.180427389554476,128.45,"[0.10619807608220376, 0.10414290539869255, 0.11268782802501977, 0.07331142462842903]","[0.16418809409084936, 0.21163309841121392, 0.12599181517821387, 0.1244721991671167]","[1.9668109668109668, 2.5731158414836375, 1.945080423127083, 2.6260131518580825]","[1555770.6905466507, 1417160.8048493383, 1004009.9451039066, 890312.3246680382]",1.41,6.056351
23,GOOG,Communication Services,1629655793664,"[282836000000.0, 257637000000.0, 182527000000.0, 161857000000.0]","[59972000000.0, 76033000000.0, 40269000000.0, 34343000000.0]","[4.39, 4.59, 5.694003, 2.957501, 2.479501]",6.58,29.280182,19.534954,1.498861047835991,68255125504,[-1],0.0,"[-8.909403329137735, -29.153421286538812, -11.32435201367469, 78.88074218600369]",11.081877850669436,128.77,"[0.10619807608220376, 0.10414290539869255, 0.11268782802501977, 0.07331142462842903]","[0.16418809409084936, 0.21163309841121392, 0.12599181517821387, 0.1244721991671167]","[1.9668109668109668, 2.5731158414836375, 1.945080423127083, 2.6260131518580825]","[1555770.6905466507, 1417160.8048493383, 1004009.9451039066, 890312.3246680382]",1.42,6.076679
24,MO,Consumer Defensive,78541758464,"[20688000000.0, 21111000000.0, 20841000000.0, 19796000000.0]","[5764000000.0, 2475000000.0, 4467000000.0, -1293000000.0]","[3.11, 3.19, 1.357521, 2.402905, -0.695916]",4.74,14.14791,9.282701,1.5241157556270097,8830125056,[-1],1.1961,"[2.0446635730858467, -1.27895409975842, -5.014154791036899, 3.9553461305314204]",8.955396610863128,44.3,"[-6.7153284671532845, -17.462017434620176, 10.075555555555555, 4.437727488526666]","[0.1559777020079017, 0.06262176454216532, 0.09421267979921542, -0.026242617361125205]","[0.6004166666666667, 0.1835917216823678, 0.22873675047365458, -0.05483228022560536]","[3283809.523809524, 3350952.380952381, 3308095.238095238, 3142222.222222222]",2.99,-1.0
25,AMZN,Consumer Cyclical,1432044175360,"[513983000000.0, 469822000000.0, 386064000000.0, 280522000000.0]","[-2722000000.0, 33364000000.0, 21331000000.0, 11588000000.0]","[0.42, -0.27, 3.298, 2.132, 1.173]",2.58,332.30954,54.096905,6.142857142857143,21140125696,[-1],0.0,"[-8.591918409752852, -17.827602794249735, -27.33795432881595, 91.80171439245407]",62.56671315586108,128.91,"[0.9594297569893798, 0.8419472675322797, 0.9034837908440752, 1.0184498872059298]","[-0.0058831793375479545, 0.07933439385184604, 0.06641137004000686, 0.051445517829237106]",[-1],"[333538.61129136925, 304881.2459441921, 250528.2284231019, 182038.93575600258]",3.08,8.5374365
26,AMCR,Consumer Cyclical,14596419584,"[14544000000.0, 12861000000.0, 12468000000.0]","[805000000.0, 939000000.0, 612000000.0]","[0.65, 0.532, 0.604, 0.382]",0.74,15.153848,13.310811,1.1384615384615384,707000000,[-1],0.74160004,"[-11.571782178217822, -3.0557499416841614, 19.746550144369586]",20.333760678925035,9.77,"[1.5672542864042502, 1.304501140842149, 1.3300618732664817]","[0.046195340296109264, 0.054631138003258084, 0.037221749178932007]",[-1],"[330545.45454545453, 292295.45454545453, 283363.63636363635]",-18.34,3.4094844
27,AMD,Technology,186511900672,"[23601000000.0, 16434000000.0, 9763000000.0, 6731000000.0]","[1320000000.0, 3162000000.0, 2490000000.0, 341000000.0]","[0.18, 0.85, 2.61, 2.1, 0.31]",4.14,643.4444,27.975845,23.0,3586374912,[-1],0.0,"[-30.367357315367993, -40.592673725203845, -31.056027860288843, 225.00372556826625]",50.80680233176916,113.15,"[0.05229223744292238, 0.08816860077364279, 0.09097138941236937, 0.2423063318004952]","[0.01953240603728914, 0.254609871970368, 0.2778397679089489, 0.05656934306569343]","[15.903614457831326, 45.82608695652174, 39.523809523809526, 5.879310344827586]","[944040.0, 657360.0, 390520.0, 269240.0]",4.47,3.3862526
28,AEE,Utilities,21376372736,"[7957000000.0, 6394000000.0, 5794000000.0, 5910000000.0]","[1074000000.0, 990000000.0, 871000000.0, 828000000.0]","[4.17, 4.16, 3.86, 3.53, 3.37]",4.68,19.520384,17.393164,1.1223021582733812,-1422249984,[-1],0.5755,"[-19.643081563403292, -9.383797309978105, 2.002071108042803, 33.31641394247039]",-15.310626023280026,82.92,"[1.4365245527217358, 1.403298969072165, 1.295144327590065, 1.2156595111055963]","[0.028334740396791895, 0.027703931719602632, 0.02719325632219794, 0.028617841219368886]","[1.1210855949895615, 0.8541846419327006, 0.8869653767820774, 0.9775678866587958]","[860774.5564690611, 691691.9082648205, 626784.9415837299, 639333.6218087408]",3.22,1.9990667
29,AAL,Industrials,10349253632,"[48971000000.0, 29882000000.0, 17337000000.0, 45768000000.0]","[127000000.0, -1993000000.0, -8885000000.0, 1686000000.0]","[2.56, 0.2, -3.09, -18.36, 3.8]",3.37,6.1875,4.700297,1.31640625,1205874944,[-1],0.0,"[-38.98021277899165, -41.98179506057158, 163.99030974216993, 15.569828491522461]",8.651602231549477,15.98,"[-7.533540265563028, -6.287738419618528, -5.973642056210863, -283.4237288135593]","[0.0019624204215340875, -0.02999608681255832, -0.14328796284350406, 0.028102341861821818]",[-1],"[369592.4528301887, 225524.5283018868, 130845.28301886792, 345418.8679245283]",0.04,-1.0
30,AEP,Utilities,41821622272,"[19639500000.0, 16792000000.0, 14918500000.0, 15561400000.0]","[2307200000.0, 2488100000.0, 2200100000.0, 1921100000.0]","[3.85, 4.51, 4.97, 4.44, 3.89]",5.6,21.1013,14.507143,1.4545454545454544,-4120962560,[-1],0.85160005,"[-14.49884162020418, -11.157098618389709, 4.309414485370513, 25.121134293829606]",-10.24219806207606,81.99,"[1.6908560522989613, 1.6341360126954692, 1.6754254071597838, 1.555225598761219]","[0.024701482709925667, 0.028380710561466065, 0.027243391301332884, 0.025313503477954944]","[0.6092099704267004, 0.5629440246164985, 0.5550621893685194, 0.5010955188064061]","[1157034.2877341816, 989277.7188641451, 878903.0281607164, 916778.6025686344]",2.99,1.7509753
31,AXP,Financial Services,121817686016,"[52862000000.0, 42380000000.0, 36087000000.0, 43556000000.0]","[7514000000.0, 8060000000.0, 3135000000.0, 6759000000.0]","[9.85, 9.86, 10.04, 3.77, 8.0]",12.28,16.792892,13.469871,1.2467005076142132,-1,[-1],0.22760001,"[-19.82898868752601, -14.848985370457763, 20.697203979272313, 21.70309119294701]",-1.0,166.41,"[1.76, 1.8636363636363635, 1.9565217391304348, 2.782608695652174]","[0.03295614035087719, 0.042645502645502646, 0.016413612565445025, 0.03413636363636364]","[1.5028, 2.6866666666666665, 0.1425, 0.844875]","[683855.1099611901, 548253.5575679172, 466843.46701164293, 563467.0116429495]",1.01,4.559136
32,AIG,Financial Services,43924570112,"[56539000000.0, 51885000000.0, 43839000000.0, 49792000000.0]","[10276000000.0, 9388000000.0, -5944000000.0, 3348000000.0]","[8.0, 13.16, 10.95, -6.88, 3.79]",7.06,7.58625,8.596317,0.8825,-3471249920,[-1],0.16,"[-8.23148623074338, -15.507372072853427, 13.579233102944865, 3.530685861182519]",-12.74764448172029,61.14,"[0.6794410279486026, 0.4573200315361756, 0.5655947680901721, 0.5382565664255805]","[0.01951260268041942, 0.01574871836165016, -0.010135025687106659, 0.006376365547818933]","[0.042185293441492334, 0.03154824313788746, -0.020077960857434317, 0.012316113581936367]","[2157977.099236641, 1980343.5114503817, 1673244.2748091603, 1900458.0152671756]",0.7,1.0375955
33,AMT,Real Estate,86110765056,"[10711100000.0, 9356900000.0, 8041500000.0, 7580300000.0]","[1765800000.0, 2567700000.0, 1690600000.0, 1887800000.0]","[2.99, 3.83, 5.69, 3.81, 4.27]",4.86,61.795986,38.018517,1.625418060200669,4708275200,[-1],3.0049,"[-12.642959173194162, -14.058074789727367, -5.735248398930548, 43.9969352136459]",18.386242319905175,185.75,"[8.44357906826502, 10.235495552231756, 8.968315622328081, 6.143984650077146]","[0.026278936520102093, 0.03674026548229379, 0.03579239311082177, 0.044105827819520764]",[-1],"[1675966.2024722265, 1464074.4797371302, 1258253.7943983728, 1186089.8138006572]",4.26,16.669975
34,AWK,Utilities,27633608704,"[3792000000.0, 3930000000.0, 3777000000.0, 3610000000.0]","[820000000.0, 1263000000.0, 709000000.0, 621000000.0]","[4.55, 4.51, 6.96, 3.91, 3.44]",5.13,31.202196,27.674463,1.1274725274725275,-1258249984,[-1],0.5556,"[3.6392405063291138, -3.8931297709923665, -4.421498543817845, 12.132963988919668]",-21.9866895066855,142.13,"[1.618614324710776, 1.5157577418470813, 1.7076231794236132, 1.5588956052932528]","[0.029510202612732572, 0.048437200383509106, 0.028627957683921505, 0.0273785380477912]",[-1],"[583384.6153846154, 604615.3846153846, 581076.9230769231, 555384.6153846154]",3.58,2.8489153
35,AMP,Financial Services,36306513920,"[14271000000.0, 13489000000.0, 11899000000.0, 12754000000.0]","[2559000000.0, 2760000000.0, 1534000000.0, 1893000000.0]","[19.19, 22.99, 23.53, 12.39, 14.12]",33.52,17.970818,10.288185,1.7467430953621679,-1,[-1],0.2604,"[-5.479644033354355, -11.787382311513085, 7.18547777124128, 18.08844434687157]",-1.0,351.14,"[1.4904511486299474, 0.9139841688654353, 0.8426793932162945, 0.8598359224995636]","[0.01614837064896383, 0.01568368953113724, 0.009247481658759486, 0.012468055958057802]","[0.06264535239540747, 0.08610738464418308, 0.04226826848892318, 0.05714026985420628]","[1057111.111111111, 999185.1851851852, 881407.4074074074, 944740.7407407408]",0.66,8.689057
36,ABC,Healthcare,37484662784,"[238587006000.0, 213988843000.0, 189893926000.0, 179589121000.0]","[1698820000.0, 1539932000.0, -3408716000.0, 855365000.0]","[7.79, 8.15, 7.48, -16.65, 4.07]",12.81,23.790758,14.467603,1.644415917843389,3313218560,[-1],0.2333,"[-10.309934062377229, -11.259894049709871, -5.426611170280402, 41.670739318335436]",11.681778026403427,191.36,"[-19.679599287745354, 29.925248708328482, -4.906316546694043, 1.3941212198559003]","[0.03003538716763622, 0.02685718436553335, -0.07756272472224644, 0.021836144100961963]",[-1],"[5186674.043478261, 4651931.369565218, 4128128.8260869565, 3904111.3260869565]",1.99,54.605186
37,AME,Industrials,36085473280,"[6150530000.0, 5546514000.0, 4540029000.0, 5158557000.0]","[1159542000.0, 990053000.0, 872439000.0, 861297000.0]","[5.16, 5.04, 4.29, 3.8, 3.78]",6.68,30.343025,23.438625,1.2945736434108526,1014797248,[-1],0.176,"[-9.820552049985936, -18.146262679585774, 13.62387773293959, 24.466613744890285]",35.849998691364206,157.85,"[0.31899995612927523, 0.3702392240614073, 0.40571266152615765, 0.5412462769954484]","[0.09327735553996744, 0.08321040844289974, 0.08423272333635498, 0.08748964783491063]","[3.0316487964045087, 2.640106131918241, 2.9814233233660827, 3.0783694914042674]","[313802.55102040817, 282985.4081632653, 231634.1326530612, 263191.6836734694]",2.53,4.469853
38,AMGN,Healthcare,129991073792,"[26323000000.0, 25979000000.0, 25424000000.0, 23362000000.0]","[6552000000.0, 5893000000.0, 7264000000.0, 7842000000.0]","[14.72, 12.18, 10.34, 12.4, 12.96]",18.55,16.527174,13.114825,1.2601902173913044,9968000000,[-1],0.5404,"[-1.3068419253124643, -2.1363408907194272, -8.110446821900567, 13.783064874582657]",12.366496864526484,230.7,"[10.63780387872166, 4.971492537313432, 3.505792326495908, 3.0913884007029875]","[0.10061270557884554, 0.09634594948091228, 0.11539683548325602, 0.13134138375734838]",[-1],"[1044563.4920634921, 1030912.6984126985, 1008888.8888888889, 927063.4920634921]",24.07,19.193687
