,ticker,activity_domain,market_cap,net_revenue_y1,net_revenue_y2,net_revenue_y3,net_revenue_y4,net_income_y1,net_income_y2,net_income_y3,net_income_y4,earnings_per_share_y0,earnings_per_share_y1,earnings_per_share_y2,earnings_per_share_y3,earnings_per_share_y4,forward_earnings_per_share,price_earnings_ratio,forward_price_earnings_ratio,projected_earnings_growth,free_cash_flow,return_on_equity_y0,return_on_equity_y1,return_on_equity_y2,return_on_equity_y3,return_on_equity_y4,dividend_payout_ratio,price_to_free_cash_flow,stock_price,debt_to_equity_ratio_y1,debt_to_equity_ratio_y2,debt_to_equity_ratio_y3,return_on_assets_y1,return_on_assets_y2,return_on_assets_y3,return_on_assets_y4,return_on_investments_y1,return_on_investments_y2,return_on_investments_y3,return_on_investments_y4,price_to_earnings_growth,price_to_book_ratio
270,JNPR,Technology,9081757696,5301200000.0,4735400000.0,4445100000.0,4445400000.0,471000000.0,252700000.0,257800000.0,345000000.0,1.52,1.46,0.78,0.78,1.01,2.38,18.578947,11.865545,-1,510062496,0.095699996,0.1052490447140846,0.0585373763580347,0.05674039837129966,0.07482757124886132,0.6825,17.830406727257202,28.28,0.3841254944023597,0.42368366188700224,0.5041928029052493,0.05050017691144778,0.028434792393383593,0.027488990541995884,0.0390373060864252,3.3739255014326646,0.554774972557629,0.3926286932683521,0.5849440488301119,1.07,2.0608625
271,K,Consumer Defensive,22210719744,15315000000.0,14181000000.0,13770000000.0,13578000000.0,960000000.0,1488000000.0,1251000000.0,960000000.0,2.42,2.81,4.36,3.65,2.81,4.29,26.77686,15.104896,-1,611500032,0.19957,0.24359299670134485,0.4,0.4019922879177378,0.3494721514379323,0.944,37.13445195698698,66.25,1.8195889368180664,2.0776881720430107,2.6066838046272496,0.05190311418685121,0.08185719000990208,0.06951544787730607,0.05465725347301298,2.2222222222222223,3.509433962264151,3.1994884910485935,2.376237623762376,5.47,5.594889
272,KDP,Consumer Defensive,47167004672,14057000000.0,12683000000.0,11618000000.0,11120000000.0,1436000000.0,2146000000.0,1325000000.0,1254000000.0,0.93,1.01,1.52,0.94,0.89,1.92,36.129032,17.5,-1,1550749952,0.06325,0.057151954151078564,0.08593624859843024,0.05560451550631584,0.05391925011824397,0.708,30.714335507675706,33.93,0.47627955106264425,0.47581291045971486,0.566032985018255,0.027702220421706503,0.04241274358670303,0.026617650013057714,0.02532412456076578,1.436,71.53333333333333,15.056818181818182,8.304635761589404,2.75,1.8575851
273,KEY,Financial Services,11153937408,7033000000.0,7038000000.0,6490000000.0,6182000000.0,1917000000.0,2625000000.0,1343000000.0,1717000000.0,1.49,1.94,2.65,1.28,1.63,1.34,8.0,8.895522,-1,-1,0.10831001,0.14248550616916902,0.1506629168340699,0.07468995050330905,0.10077473881911023,0.5436,-1.0,12.04,1.8353649472275904,0.7249038627102107,0.8046271063900784,0.010099413633418153,0.01408669893638715,0.007884416682322,0.011842359367671808,0.03658676234827086,0.04022803549262103,0.025483387412003566,0.0493008298159474,-1.85,0.98325497
274,KEYS,Technology,28308787200,5420000000.0,4941000000.0,4221000000.0,4303000000.0,1124000000.0,894000000.0,627000000.0,621000000.0,6.58,6.23,4.84,3.35,3.31,8.58,24.120062,18.49767,-1,794249984,0.27817,0.2701273732275895,0.23625792811839325,0.19017288444040037,0.20672436750998668,0.0,35.610719961940845,158.57,0.48497957221821675,0.5346194503171248,0.6008492569002123,0.13879970363052604,0.11489525767896157,0.08686616791354947,0.09376415521666918,18.129032258064516,12.771428571428572,10.278688524590164,13.5,2.28,6.009466
275,KMB,Consumer Defensive,43209895936,20175000000.0,19440000000.0,19140000000.0,18450000000.0,1934000000.0,1814000000.0,2352000000.0,2157000000.0,4.85,5.73,5.38,6.9,6.28,7.12,26.34433,17.945225,-1,2156124928,2.36324,3.5356489945155394,3.529182879377432,3.757188498402556,-65.36363636363636,0.96489996,20.18012987358773,128.66,15.396709323583181,16.68093385214008,13.361022364217252,0.10762381747356706,0.10169871615181925,0.1342235918507105,0.14113721128050774,8.126050420168067,6.255172413793104,7.84,8.048507462686567,2.04,86.4479
276,KIM,Real Estate,12397839360,1727684000.0,1364585000.0,1057893000.0,1158884000.0,125976000.0,844059000.0,1000833000.0,410605000.0,0.25,0.16,1.61,2.26,0.8,0.65,80.0,30.769232,-1,908440256,0.04158,0.013239019924107047,0.08526374708580499,0.17846382802987992,0.08440166811514006,1.4918,13.701980548779202,20.08,0.7641804305140619,0.7676717219618302,0.9721926218838511,0.007066932448908405,0.04572565689334624,0.08617100799363003,0.03733496686221065,0.10505599049979485,0.7476734277367453,1.4139374486108325,0.5315151232722085,-0.94,1.2883277
277,KMI,Energy,38681030656,19200000000.0,16610000000.0,11700000000.0,13209000000.0,2548000000.0,1784000000.0,119000000.0,2190000000.0,1.11,1.12,0.78,0.05,0.96,1.21,15.63964,14.347108,-1,1521250048,0.081879996,0.08288335176631319,0.05787885669792039,0.0037854688891716505,0.0649042736055954,1.0044999,25.573605057095783,17.46,1.0340251122243185,1.0810109333938942,1.1034800865250032,0.03635948514512401,0.02533515110202227,0.0016533978019535104,0.029531938994295886,0.33294133019730826,0.2354183161784112,0.015030946065428824,0.28225286763758217,52.43,1.2657675
278,KLAC,Technology,68115189760,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,24.54,-1.0,-1.0,-1.0,-1.0,26.4,20.23105,18.805681,-1,2756190976,1.56864,-1.0,-1.0,-1.0,-1.0,0.21530001,25.00522579486161,502.33,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.69,23.252775
279,KHC,Consumer Defensive,43297021952,26485000000.0,26042000000.0,26185000000.0,24977000000.0,2363000000.0,1012000000.0,356000000.0,1935000000.0,1.96,1.93,0.83,0.29,1.59,2.98,17.999998,11.838925,-1,2345625088,0.063769996,0.04854348987222154,0.020528216154813584,0.007105362952318225,0.03748329233093776,0.8163,18.610358810896212,35.57,0.41230124491556763,0.44251288084709317,0.564956190248089,0.026106747097102073,0.010835813863845644,0.003566062305920064,0.019073435189748644,-1.0,-1.0,-1.0,-1.0,2.37,0.8697153
