,ticker,market_cap,net_revenue_y1,net_revenue_y2,net_revenue_y3,net_revenue_y4,net_income_y1,net_income_y2,net_income_y3,net_income_y4,earnings_per_share_y0,earnings_per_share_y1,earnings_per_share_y2,earnings_per_share_y3,earnings_per_share_y4,forward_earnings_per_share,price_earnings_ratio,forward_price_earnings_ratio,projected_earnings_growth,free_cash_flow,return_on_equity_y0,return_on_equity_y1,return_on_equity_y2,return_on_equity_y3,return_on_equity_y4,dividend_payout_ratio,price_to_free_cash_flow,stock_price,debt_to_equity_ratio_y1,debt_to_equity_ratio_y2,debt_to_equity_ratio_y3,return_on_assets_y1,return_on_assets_y2,return_on_assets_y3,return_on_assets_y4,return_on_investments_y1,return_on_investments_y2,return_on_investments_y3,return_on_investments_y4,price_to_earnings_growth,price_to_book_ratio,activity_domain_Basic Materials,activity_domain_Communication Services,activity_domain_Consumer Cyclical,activity_domain_Consumer Defensive,activity_domain_Energy,activity_domain_Financial Services,activity_domain_Healthcare,activity_domain_Industrials,activity_domain_Real Estate,activity_domain_Technology,activity_domain_Utilities
77,ACT,0.0016661538845898945,0.00043967449762180984,0.0006890743503552027,0.001104394130993936,0.0009266444944921624,0.002636354780211171,0.011286184613314177,0.11917501775091846,0.09160414518190044,0.11865327178930218,0.02724602427728223,0.34844958330204967,0.4920844122661421,0.18863948245716342,0.08960973137354283,0.0011587768812636587,0.32603008020100605,0.06040785217411734,0.6812249482968861,0.07941423542032537,0.8911027191868508,0.8355769158972781,0.6820363705940412,0.8828381172930163,0.013218906337403979,0.5882355202646862,0.017932325971845537,0.8678380406383711,0.8811978242860278,0.9191577300329062,0.500887103030883,0.3222293479518075,0.7835450877360045,0.769387546881776,0.002596872244769373,0.041848042399332576,0.04103707797752656,0.10370428346847148,0.4320081738807357,0.000980488008422815,0,0,0,0,0,1,0,0,0,0,0
91,ADI,0.03254750812437397,0.004835001351959356,0.004593663739755799,0.004461036887734704,0.00561094820370724,0.0046436021248107,0.01270402114533573,0.12062232027280473,0.09341094813933537,0.19087700244366004,0.028193627129521875,0.34897514828440573,0.49442454891744947,0.18764186529743695,0.15448555499239736,0.004770884266872886,0.34764985399064957,0.060576123828152285,0.6868500572868803,0.06932727831288288,0.889846141798154,0.8309017759524093,0.6823630209515322,0.8820210718394913,0.04229291524414061,0.5893070256132421,0.11880408110551466,0.8678362570517386,0.8811949708827097,0.9196755091326451,0.3996801674351333,0.23773358095895772,0.7753147913823657,0.6606590023408988,0.009104683524936598,0.045739605742233826,0.043863391430946856,0.12032485344680181,0.36550250789522576,0.0023126000044096195,0,0,0,0,0,0,0,0,0,1,0
93,ADM,0.01605765862758114,0.040997045704285216,0.05368731984390972,0.048318488928030784,0.06043791334831034,0.006206117022473848,0.014919792243106618,0.1215605445064784,0.09345309825465253,0.20336682052674449,0.030567518810905733,0.3538553945491403,0.4940854792685968,0.18509243975545253,0.12042574759249873,0.0019749766038632565,0.3353057239524356,0.06036331898535785,0.6898445049856118,0.08040157415636749,0.8911910066889462,0.8349519540825066,0.6816957137769154,0.8814222101004303,0.02149732004197809,0.5880374035972836,0.053648456670541134,0.8680635834490288,0.8815194245695395,0.9199472466233428,0.4918566047819944,0.3002245316965681,0.7714265095312954,0.6200970724968384,0.002786223579866417,0.04199573162757529,0.041095064009497764,0.10378877887029989,0.32309121307820926,0.0016223701419783236,0,0,0,1,0,0,0,0,0,0,0
97,ADNT,0.0012954979343225313,0.005683177846406224,0.008601323663787566,0.009736405436415548,0.015456668036954464,0.0018271766775547905,0.012229432228354976,0.11761354148621092,0.08852341436928723,0.00325821341297855,0.021785096499942407,0.37998348224341166,0.4737639049806949,0.16913262132189166,0.09021794221996961,0.05670185953837167,0.3314441067418114,0.07878605581011967,0.681066484785317,0.06660018695365749,0.8881078605515318,0.8517078631996801,0.65380912673784,0.8768741845429432,0.0,0.5882540513351687,0.024841792586852648,0.8690583163803729,0.8830172397226249,0.9264481229911918,0.29987785641664466,0.3346018404700653,0.6706969962709418,0.5213337194046772,0.0024326240785934113,0.04300551275134607,0.04086609410189337,0.10319846919110313,0.3602266394203976,0.001538528927212513,0,0,1,0,0,0,0,0,0,0,0
114,AEE,0.007382863636921065,0.003201904333394653,0.004011395508184303,0.0046035737427259586,0.005535186627742871,0.00299947595375061,0.012031142108591894,0.12002701724418387,0.092000555034954,0.11295139831658972,0.027089718652170535,0.35032660109617836,0.49492185106909997,0.18699932715270917,0.10035478966041562,0.0034702835753422905,0.3448773554693906,0.06091363587355871,0.6781052687963535,0.07071875220754813,0.8901961568954455,0.8340713334571468,0.6821409521299319,0.8818370305010041,0.05418424406768346,0.5862418622161142,0.050729691334108235,0.8692798858800299,0.8828158027497338,0.9215548960212674,0.36092541148568436,0.23916622607156668,0.7471409896495548,0.6166822974195209,0.0028815801248728208,0.0421191512814655,0.041201294569326016,0.10446405308927144,0.3658554709269924,0.0017714418476423677,0,0,0,0,0,0,0,0,0,0,1
120,AEL,0.001463202968611304,0.0015150179423603421,0.002533353596746398,0.003050481588568173,0.0018924851956819825,0.0038303150837364977,0.0111640294974164,0.11968739456946884,0.0904665270404444,0.10915014933478143,0.03572560443959165,0.35302950671972366,0.5026074297764266,0.1856106156786201,0.1233654333502281,0.0024043316810661904,0.32520155791076893,0.060422787157404616,0.6806164099757093,0.051914960728232123,0.8995236689225539,0.8327592403542683,0.6823826579228293,0.881178415729059,0.2008060119666197,0.5917849503216276,0.03366266305049723,0.8680556893485548,0.8810794647231244,0.9189345226963302,0.3578369992497856,0.2117036905412562,0.7302499301787003,0.5852474728553823,0.002568515500888124,0.04181387497141509,0.04102511328316594,0.10353734956224876,0.3605796024521643,0.00148465656081564,0,0,0,0,0,1,0,0,0,0,0
127,AEP,0.014562019551363978,0.007904610014082141,0.010561776095881631,0.011414877231537862,0.014555173974470901,0.004210262777372624,0.014548586417211153,0.12228918270957305,0.09488217934249026,0.1042628292153136,0.027431637207102365,0.35449358059914404,0.4969788736054727,0.1880771330728977,0.10957932083122149,0.0037842737538994063,0.3391187001565654,0.060830763403964434,0.6734713114312522,0.06649668888315724,0.8901225149217838,0.8344998011695753,0.6826372805947325,0.8817711924027858,0.08075482141626084,0.5866256914093441,0.05074906367041199,0.8695719924365379,0.8831212024462105,0.9223798816535689,0.3555728053029876,0.24002453868347295,0.7471885974448927,0.6125418490528177,0.0027324175845057,0.04201392698281011,0.041134300541394754,0.1040101570855766,0.3655210848968977,0.0015611597361155118,0,0,0,0,0,0,0,0,0,0,1
128,AER,0.005260625686530236,0.00278244874941335,0.002874263801371953,0.003632866139125781,0.004626159865545833,0.0012321503579191201,0.012048798331374526,0.118036383119819,0.09283805823938032,0.19033396687483026,0.020075503725283248,0.3614760867933028,0.4816529254773331,0.1976530241330342,0.15245818550430817,0.0015648450016424332,0.32223482212611765,0.060189845185000146,0.6777452433058445,0.07255543307371197,0.8882753520055894,0.8320531497495874,0.6753663717285464,0.8821098481368622,0.0,0.5866848203477899,0.03939687459640966,0.8709555536171791,0.8849814310630123,0.9257913688424684,0.30384180688888124,0.2210471567165498,0.7145758111023318,0.6136373023113503,0.0023127465844353366,0.04229229136216539,0.04058576513584844,0.11238596182256809,0.36238157161434154,0.0007930158366518086,0,0,0,0,0,0,0,1,0,0,0
138,AFG,0.0033888486807476486,0.0028327726313453973,0.0041109300468317525,0.0061823897741618925,0.007709949932116964,0.0028266747204085127,0.013719968976065597,0.11979043534689315,0.0921824524617402,0.2609285908226988,0.03333217455506884,0.4238306179142578,0.5055912426863299,0.20069989856125947,0.17232640648758238,0.0020974071019299405,0.3291266175665235,0.060210499335894355,0.6814327768897399,0.08781236292666257,0.8917537686140421,0.8484017399804111,0.6826768201898215,0.8823804503130321,0.023232656276833127,0.5887329348604047,0.07207154849541522,0.8680540354252216,0.8814776583571481,0.9193724691460975,0.36506854581405224,0.291460733671257,0.7307671606507787,0.5968501367035877,0.0025752763166585176,0.041866222151102604,0.04102541825772618,0.10354981193859017,0.36747167007245035,0.0021792979559495393,0,0,0,0,0,1,0,0,0,0,0
140,AFL,0.01636717224641766,0.007703539910294134,0.013909412414695212,0.016810844930466775,0.02085946419620957,0.006282699387250459,0.017635358629014584,0.12667684078889496,0.09852777284252859,0.18789030681509636,0.02949291763826284,0.35993693220211725,0.5020649183382624,0.18923784714079303,0.1151545869234668,0.0019630819390648833,0.33520968294662323,0.06039318052883588,0.674329265644762,0.0851904101644962,0.8917243606054145,0.8354270683905968,0.6844620153772867,0.8819899166837514,0.020843011631216005,0.5864099781755648,0.04857936200439107,0.8680543949270932,0.8812757631700923,0.9192558249461847,0.36858842239916706,0.23884798219030598,0.7488020492134028,0.607923243124027,0.0025683177517942662,0.04182331406982296,0.04102958917536601,0.10355857192384439,0.3639977707597994,0.002022593295797233,0,0,0,0,0,1,0,0,0,0,0
145,AFYA,0.00047924281076030444,0.0009364166794947693,0.0010665408191780543,0.0011751101594998411,0.0007133522703348059,0.0023117751544833452,0.010742804148598326,0.1190416706622484,0.09022353844020393,0.024708118381754,0.027070180449031575,0.34480816878144005,0.49406287462534,0.18422190420453102,0.06862645717181956,0.0030017595174997203,0.3295240700787903,0.062415625458008606,0.6810676850512847,0.072284365877179,0.8903862732065999,0.8327974706127703,0.6825299755091182,0.881457038671586,0.0,0.5875576483350033,0.008820870463644583,0.8686046631857746,0.8819293019122221,0.9196351686296002,0.39562452411615706,0.2479603813584573,0.7791834539013938,0.6470429500286735,0.004574285099387813,0.043474975216677904,0.042169019420900865,0.10674582789392138,0.3785807170722646,0.0003735301756809835,0,0,0,1,0,0,0,0,0,0,0
150,AGCO,0.003224808297245201,0.005091601020526632,0.007000140518976036,0.0071085538640921824,0.00846172457845926,0.002818427388817185,0.011874862607422685,0.11927148699808783,0.09014783747632579,0.35134401303285356,0.03467054147008772,0.38062166829341537,0.49980445401257806,0.18341354976438964,0.20516979219462747,0.0016668952228922017,0.32604574494898203,0.06012630150187078,0.6812403244693646,0.10160717718048255,0.8918518298386031,0.8418437858704738,0.6845108902996182,0.8810440344393203,0.00645773017327484,0.589030432413213,0.07980756812604935,0.8680992429576295,0.8815865104827616,0.9200135737219786,0.4488949381266787,0.32792489020290194,0.7690091405804662,0.6010404242191518,0.0031482374833399275,0.042594293382719924,0.0412169976073011,0.10384650198705848,0.3625859186327327,0.00200935988945047,0,0,0,0,0,0,0,1,0,0,0
162,AGO,0.0012274688698381488,0.00027421091027116833,0.00042311239340030784,0.0010876288216558653,0.0008725763460400977,0.002066742023779062,0.011021206837595181,0.11916068497280995,0.0908775361391435,0.061634537062177565,0.02507848630526067,0.3556948719873865,0.49648157145382216,0.18838803862679823,0.10329447541814497,0.004797215379253818,0.3342203304428729,0.06118484471805268,0.6786208460521982,0.062281196043416615,0.8891823520779232,0.8321231897417634,0.6799217361208532,0.8812687147298823,0.019980083449804804,0.5871494654652567,0.037046364458220335,0.8680098927120458,0.8813110036417044,0.9191449194950579,0.33002800569821017,0.23112602019692177,0.7437361433862683,0.6159843913389166,0.002559069755038896,0.04182504567961433,0.04102962812066929,0.10356905532472617,0.36932937023964335,0.0006015803535082108,0,0,0,0,0,1,0,0,0,0,0
163,AGR,0.004708533153755773,0.003188217879883557,0.004376775460181269,0.004996224916501515,0.005935186066622163,0.002809983692187969,0.011555581906109249,0.11953342911314568,0.09166312212729262,0.04724409448818897,0.025253127557108127,0.3432314738343719,0.4911920849317209,0.1846986260538452,0.07663456664977193,0.0035922579045400845,0.34002448863274115,0.061904495323302486,0.677249167318974,0.05705536489641157,0.8894559218267992,0.8309242915798307,0.6790800230542707,0.8810719103896484,0.11126071677391146,0.5868482170118159,0.021645357096732536,0.868186127649413,0.8815570616633744,0.9203524631007546,0.35074364960572596,0.22672866190428514,0.7359051914495746,0.6063090982499009,0.0030831359110792904,0.042221868560933865,0.04118160162214763,0.10447465827550596,0.3378041984023779,0.0006202854740181521,0,0,0,0,0,0,0,0,0,0,1
178,AIG,0.015214921579696027,0.022758236229748992,0.032669153088001494,0.033003600180541603,0.04654634405040895,0.012034231347011858,0.026143349106645793,0.10842769616478636,0.09864376540453719,0.21694270974748844,0.03588191006470335,0.3769427134169232,0.47139041743872645,0.18786986270363068,0.1320831221490117,0.0012851057390247484,0.32485601726825875,0.0601995217170524,0.6745782165948605,0.0714908814914236,0.8922138109324561,0.8360213239434028,0.6724790249712019,0.881139765895858,0.01907922724581791,0.5864352614361944,0.03771793878341728,0.8684103551228173,0.8815642632400338,0.9199722038049722,0.3479284173401943,0.22400424143429787,0.7116943366164512,0.5888129666113656,0.002567184396576133,0.04182193539547664,0.04101820959454698,0.10354453718043978,0.3610811814973064,0.0009195241137490083,0,0,0,0,0,1,0,0,0,0,0
