,ticker,activity_domain,market_cap,net_revenue_y1,net_revenue_y2,net_revenue_y3,net_revenue_y4,net_income_y1,net_income_y2,net_income_y3,net_income_y4,earnings_per_share_y0,earnings_per_share_y1,earnings_per_share_y2,earnings_per_share_y3,earnings_per_share_y4,forward_earnings_per_share,price_earnings_ratio,forward_price_earnings_ratio,projected_earnings_growth,free_cash_flow,return_on_equity_y0,return_on_equity_y1,return_on_equity_y2,return_on_equity_y3,return_on_equity_y4,dividend_payout_ratio,price_to_free_cash_flow,stock_price,debt_to_equity_ratio_y1,debt_to_equity_ratio_y2,debt_to_equity_ratio_y3,return_on_assets_y1,return_on_assets_y2,return_on_assets_y3,return_on_assets_y4,return_on_investments_y1,return_on_investments_y2,return_on_investments_y3,return_on_investments_y4,price_to_earnings_growth,price_to_book_ratio
4196,PSA,Real Estate,49309069312,4182163000.0,3415824000.0,2915068000.0,2846823000.0,4349147000.0,1953263000.0,1357213000.0,1520534000.0,23.53,23.64,9.91,6.29,7.3,11.56,11.886528,24.194635,1.0282462813429665,2303780352,0.42507,0.4317456009399804,0.2092368468214368,0.1585739093737524,0.16777545316289655,0.4329,21.632890304292342,283.47,0.682076025557205,0.8007645703986116,0.29735150692258683,0.2477820721800274,0.11237980202185065,0.11485699797555056,0.13378571043946896,15.771950883402477,2.356841461310411,1.7556691322379263,1.9803364347708305,1.48,8.587087
4197,PSEC,Financial Services,2505512704,622468000.0,1017081000.0,18979000.0,-1.0,582584000.0,963807000.0,-16224000.0,-1.0,-0.56,1.43,2.51,-0.04,-1.0,0.81,-1.0,7.691358,-13.734567857142856,263228496,-0.03155,0.1414339897109166,0.2442790133713782,-0.0053091420061318235,-1.0,-1.0,9.655899980676864,6.32,0.6645288329578893,0.5659509260763546,0.6995301815102192,0.0760213810460417,0.15291019074447906,-0.003061037934116366,-1.0,0.07663048124895594,0.15540817488146141,-0.003100723043356609,-1.0,1.47,0.6573117
4198,PSFE,Technology,896948928,1496137000.0,1487013000.0,1426489000.0,1418140000.0,-1862655000.0,-110954000.0,-126715000.0,-110198000.0,-11.29,-30.78,-1.83974,-2.1,-1.827212,1.36,-1.0,10.764706,-0.95347263064659,-1,-1.0,-2.1667924949717148,-0.04317672751272101,-0.06593884076900461,-0.05355277084732518,0.0,-1.0,11.82,3.119136333126657,1.087734515698718,1.7202328140895715,-0.3126804582666337,-0.015267717585340988,-0.01710208384535662,-0.015041025756517954,-1.0,-1.0,-1.0,-1.0,4.59,1.0352875
4199,PSHG,Industrials,16426692,75173000.0,36491000.0,46283000.0,26846000.0,36300000.0,-9706000.0,3777000.0,-32057000.0,54.67,6.49,-28.97,15.97,-168.0,4.04,0.025242364,0.34158415,0.006248109566489847,-113928376,0.29857,0.23313316849169904,-0.11111747129331762,0.03901980433277891,-0.3401706318045799,0.0,-0.14627400639854637,1.4,0.8210269419736039,0.5712486691318733,0.5957416035620938,0.12389966516371481,-0.06697303414203307,0.02392717321068836,-0.24551769562453568,-1.0,-1.0,-1.0,-1.0,-1.0,0.07931946
4200,PSMT,Consumer Defensive,2382700288,4066093000.0,3619871000.0,3329188000.0,3223918000.0,104534000.0,97963000.0,78109000.0,73191000.0,3.76,3.38,3.18,2.55,2.4,4.26,20.409575,18.014084,4.7909797872340425,126220000,0.11383,0.10547558050718767,0.10702303503050763,0.09391272773617051,0.09179269857315034,0.2367,18.933937014736177,76.97,0.2763328231119201,0.2920068389514336,0.3967265386506741,0.05780468922804689,0.05742969533178176,0.047143784044784455,0.056456632965934415,9.923485855325612,9.290876327769347,7.367383512544803,6.842198747312331,1.33,2.1612031
4201,PSN,Technology,5848923136,4195272000.0,3660771000.0,3918946000.0,3954812000.0,96664000.0,64072000.0,98541000.0,120534000.0,0.91,0.93,0.62,0.98,1.3,2.59,61.2967,21.53668,23.66668131868132,186714880,0.08181,0.0473015360374247,0.03370847994073974,0.05432932033353696,0.07395222990508563,0.0,31.06148085251695,55.31,0.44733774717773306,0.41915530985370125,0.4557342378204096,0.02302542410428232,0.01672487692315724,0.025024989181512882,0.03493366504674284,0.8998277868280196,0.5788522694420353,1.4286480608916274,1.7565432818420286,2.26,2.7602928
4202,PSNL,Healthcare,84678672,65047000.0,85494000.0,78648000.0,65207000.0,-113315000.0,-65226000.0,-41280000.0,-25084000.0,-2.44,-2.48,-1.49,-1.2,-1.39,-1.87,-1.0,-0.9679144,0.3966862295081967,-1,-1.0,-0.5194623611550433,-0.21020235190991973,-0.21175203262458642,-0.23511106945355703,0.0,-1.0,1.89,0.18814150610390623,0.17014769530230325,0.05635435635692118,-0.3871370003416467,-0.16449279748214501,-0.16859852476290832,-0.1594751130071015,-1.0,-1.0,-1.0,-1.0,0.06,0.38758028
4203,PSNY,Consumer Cyclical,8166280192,2461897000.0,1337181000.0,610245000.0,92415000.0,-465789000.0,-1007454000.0,-484858000.0,-197975000.0,-0.09,-0.23,-0.476271,-0.229215,-0.093592,-0.54,-1.0,-7.166666,79.62962222222222,-1,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,4.01,-10.893201043916486,6.738228187042842,0.7516940440253413,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.55,-1.0
4204,PSO,Communication Services,7469496832,3841000000.0,3428000000.0,3397000000.0,3869000000.0,242000000.0,159000000.0,310000000.0,264000000.0,0.42,0.328,0.235,0.437,0.34,0.61,24.833334,17.09836,40.71038095238095,743249984,0.06797,0.05497501135847342,0.03723653395784543,0.07515151515151515,0.06121029445861349,0.5352,10.117225356038489,10.5,0.2760109041344843,0.32786885245901637,0.40024242424242423,0.03310986455055411,0.021653275228108403,0.04160515367064824,0.034509803921568626,-1.0,-1.0,-1.0,-1.0,-1.0,1.7838207
4205,PSQH,Technology,286853536,475175.0,-1.0,-1.0,-1.0,-6978576.0,-1.0,-1.0,-1.0,-0.24,-0.26795,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,11.5,0.08791552216681714,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4206,PSTG,Technology,11243406336,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.05,-1.0,-1.0,-1.0,-1.0,1.66,731.2,22.024097,440.48194,402205760,0.021070002,-1.0,-1.0,-1.0,-1.0,0.0,28.015533210862024,36.64,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.88,12.368065
4207,PSTL,Real Estate,361852416,53330000.0,39938000.0,24675872.0,11289356.0,3854000.0,2055000.0,-352347.0,-1033799.0,0.13,0.15,0.1,-0.1,-0.3,0.05,112.00001,291.2,2240.0,29499624,0.01657,0.01681273475228045,0.009339126166822698,-0.0038302761541195367,-0.021152502302725664,7.25,9.908081269103633,14.68,0.8579206128315978,0.4333218203797457,1.3548066374581933,0.00768796516278578,0.00544058117585388,-0.001361018433792935,-0.007557662303276064,-1.0,-1.0,-1.0,-1.0,-1.0,1.2920401
